survey_chr,catvar_explicit_na,n,mean,min,Q10,Q25,Q50,Q75,Q90,max
Survey 2,20-25,106,17.99056603773585,0,4,8,14,23.75,36,66
Survey 2,26-30,689,17.635703918722786,0,1,6,14,26,39,74
Survey 2,31-35,617,17.207455429497568,0,2,6,15,24,38,78
Survey 2,36-40,442,15.373303167420815,0,0,3,11,23,34.900000000000034,80
Survey 2,41-45,355,15.459154929577466,0,1,4,12,23,35,76
Survey 2,46-50,231,14.978354978354979,0,0,4,11,21.5,35,69
Survey 2,51-55,164,14.164634146341463,0,2,5.75,10,21,29.700000000000017,60
Survey 2,56-60,89,16.0561797752809,0,4,6,14,21,34.60000000000001,84
Survey 2,>60,36,11,0,0,2.5,8,16,22.5,44
Survey 2,(Missing),3,21.666666666666668,17,17.2,17.5,18,24,27.599999999999994,30
Survey 3,20-25,103,14.242718446601941,0,0.20000000000000107,4.5,11,20.5,30.39999999999999,69
Survey 3,26-30,690,14.376811594202898,0,0,3,10,21,36,76
Survey 3,31-35,606,13.562706270627062,0,0,2.25,9,20,34,75
Survey 3,36-40,434,12.649769585253456,0,0,1,7,19,34.69999999999999,80
Survey 3,41-45,356,12.23314606741573,0,0,2,7,18,30,74
Survey 3,46-50,239,12.338912133891213,0,0,2,7,16.5,36.20000000000002,72
Survey 3,51-55,177,11.587570621468927,0,0,1,7,18,29,69
Survey 3,56-60,87,12.310344827586206,0,0,3,9,19,27,58
Survey 3,>60,41,10.634146341463415,0,0,2,6,16,29,42
Survey 3,(Missing),4,15.25,6,7.8,10.5,15.5,20.25,22.5,24
